"LOA DATE",PRODUCT,MODEL,"PRIMARY VIOLATION",CITATION,"ACTION REQUESTED",FIRM,"ADDRESS 1","ADDRESS 2","FOREIGN MFG","LOT SIZE",COUNTRY
"March 2017","RAGDOLL W/PINK FLOWER POT APRO",RD/FP,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production",ZULILY,"2601 ELLIOTT AVE STE 200","SEATTLE, WA 98121","JIANGSU PALM INT'L",10,CHINA
"March 2017","DREAM HOUSE KIDS TEEPEE",TS-KT017F,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FORESTYES INC.","5 ALDER ST","JERSEY CITY, NJ 07305","NINGHAI HAND-IN-HAND MOTHER & BABY CARE CO LTD",648,CHINA
"March 2017","80 PIECE WATER BALLOON SET",T4190,"Misbranded Balloon","16 CFR 1500.19","Stop Sale and Correct Future Production","BROOKLYN LOLLIPOPS IMPORT CORP.","248 WEST 35TH STREET, SUITE 90","NEW YORK, NY 10001","YUEGUAN PLASTIC SPORTS TOYS",8640,CHINA
"March 2017","200 PIECE WATER BALLOON SET",T4191,"Misbranded Balloon","16 CFR 1500.19","Stop Sale and Correct Future Production","BROOKLYN LOLLIPOPS IMPORT CORP.","248 WEST 35TH STREET, SUITE 90","NEW YORK, NY 10001","YUEGUAN PLASTIC SPORTS TOYS",8640,CHINA
"March 2017","GO WATER BOMB SET",T5795,"Misbranded Balloon","16 CFR 1500.19","Stop Sale and Correct Future Production","BROOKLYN LOLLIPOPS IMPORT CORP.","248 WEST 35TH STREET, SUITE 90","NEW YORK, NY 10001","YUEGUAN PLASTIC SPORTS TOYS",3600,CHINA
"March 2017","60 PIECE WATER BOMB TEAM SET",T5796,"Misbranded Balloon","16 CFR 1500.19","Stop Sale and Correct Future Production","BROOKLYN LOLLIPOPS IMPORT CORP.","248 WEST 35TH STREET, SUITE 90","NEW YORK, NY 10001","YUEGUAN PLASTIC SPORTS TOYS",5280,CHINA
"March 2017","ARROW GUN SET",257032,"ASTM Toy Standard Violation","15 U.S.C. § 2058(a)","Stop Sale and Correct Future Production","MAGIC SOURCE","2445 E. DOMINGUEZ ST.","CARSON, CA 90810","GAO MEI TRADING COMPANY",960,CHINA
"March 2017","SHOOT GUN SET",272339,"ASTM Toy Standard Violation","15 U.S.C. § 2058(a)","Stop Sale and Correct Future Production","MAGIC SOURCE INTERNATIONAL, LTD","2445 E. DOMINGUEZ ST.","CARSON, CAL 90810","GAO MEI TRADING COMPANY",960,CHINA
"March 2017","SQUISHY FOOD",,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","BEE CRAZEE INC","1527 NEWTON ST","LOS ANGELES, CA 90021","SHENZHEN JIYOULONG IMPORT & EXPORT CO LTD CHINA",9218,CHINA
"March 2017","TOY BACKPACKS WITH BEACH TOYS",SHARKTOYSBP,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","GETAGADGET INC.","6406 BURLESON RD STE 120","AUSTIN, TX 78744-1422","ANHUI CHANGXING ARTS & CRAFTS GROUP INC.",1440,CHINA
"March 2017","TOY BACKPACKS WITH BEACH TOYS",PIRATE-BACKPACK,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","GETAGADGET INC.","6406 BURLESON RD STE 120","AUSTIN, TX 78744-1422","ANHUI CHANGXING ARTS & CRAFTS GROUP INC.",1440,CHINA
"March 2017","XD FUN STUFF 20 PC",X000ZI5AZN,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","BEST PRICE CANADA","929, RANG 2, ST. CLOTILDE DE C","PQ, CANADA,",,500,CANADA
"March 2017",TRICYCLES,568,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LINOVIS CORPORATION","3579 E FOOTHILL BLVD, APT 217","PASADENA, CA 91107","XINGTAI LIEMENG BICYCLE CO., LTD.",1500,CHINA
"February 2017","COLOR PLAY DOUGH SET",231-16,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","PR RETAILS STORES, INC.","AVE. CAMPO RICO ESQ. 246 COUNT","CAROLINA, PR 00982","SUAREZ TOY HOUSE",480,CHINA
"February 2017",CROKINOLE,"2 IN 1 CROKINOL","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","BOJEUX INC.","7760 GRENACHE","ANJOU, QUEBEC CANADA, H1J1C3","BOJEUX INC",100,CANADA
"February 2017","PVC BALLS",,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","YKS TECH INC","14235 RAMONA","CHINO, CA 91710","HANGZHOU YOU KE SHU TECHNOLOGY CO LTD",200,CHINA
"February 2017","FINGER PUPPET PLUSH","ASSORTED DESIGN","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","ANIMATE NORTH AMERICA, LTD","707 WILSHIRE, BLVD., STE 4360","LOS ANGELES, CA 90017","ANIMATE CO., LTD",9,CHINA
"February 2017",KEYCHAIN,"ANIMAL FACE","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","ANIMATE NORTH AMERICA, LTD","707 WILSHIRE, BLVD., STE 4360","LOS ANGELES, CA 90017","ANIMATE CO., LTD",76,CHINA
"February 2017","COIN PURSE","ASSORTED DESIGN","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","ANIMATE NORTH AMERICA, LTD","707 WILSHIRE, BLVD., STE 4360","LOS ANGELES, CA 90017","ANIMATE CO., LTD",66,CHINA
"February 2017","PILLOW KEY CHAIN","ASSORTED DESIGN","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","ANIMATE NORTH AMERICA, LTD","707 WILSHIRE, BLVD., STE 4360","LOS ANGELES, CA 90017","ANIMATE CO., LTD",27,CHINA
"February 2017","PLUSH TOY","ASSORTED DESIGN","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","ANIMATE NORTH AMERICA, LTD","707 WILSHIRE, BLVD., STE 4360","LOS ANGELES, CA 90017","ANIMATE CO., LTD",250,CHINA
"February 2017","KIRBY KEYCHAIN","ASSORTED DESIGN","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","ANIMATE NORTH AMERICA, LTD","707 WILSHIRE, BLVD., STE 4360","LOS ANGELES, CA 90017","ANIMATE CO., LTD",50,CHINA
"February 2017","PLAY MAT",,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","SUNWARD LOGISTICS USA LLC","3131 E MARIA ST","COMPTON, CA 90221-5805","QUINGDAO SUNWARD SUPPLY CHAIN MANAGEMENT CO LTD",108,CHINA
"February 2017","TOY BILLARDS TABLE SET",100066981,"Misbranded Toys/Games w/Small Ball","16 CFR 1500.19","Stop Sale and Correct Future Production","SAHID MAKNOJA","7603 HAMPDEN COURT","SUGAR LAND, TX 77479","GUANGDONG ESSA TECHNOLOGY CO. LTD.",288,CHINA
"February 2017","RACKET SET",100356440,"Misbranded Toys/Games w/Small Parts","16 CFR 1500.19","Stop Sale and Correct Future Production","SAHID MAKNOJIA","7603 HAMPDEN COURT","SUGARLAND, TX 77479","GUANGDONG ESSA TECHNOLOGY CO. LTD.",144,CHINA
"February 2017","RACKET SET",100627815,"Misbranded Toys/Games w/Small Parts","16 CFR 1500.19","Stop Sale and Correct Future Production","SAHID MAKNOJIA","7603 HAMPDEN COURT","SUGARLAND, TX 77479","GUANGDONG ESSA TECHNOLOGY CO. LTD.",288,CHINA
"February 2017","TOY DOCTOR SET",100820896,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","SAHID MAKNOJIA","7603 HAMPDEN COURT","SUGARLAND, TX 77479","GUANGDONG ESSA TECHNOLOGY CO. LTD.",192,CHINA
"February 2017","TOY DOCTOR SET",100820926,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","SAHID MAKNOJIA","7603 HAMPDEN COURT","SUGARLAND, TX 77479","GUANGDONG ESSA TECHNOLOGY CO. LTD.",192,CHINA
"February 2017","ACTION TOY FIGURES",X000TI7LTH,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","SEW LAN SIN","309 CEDAR LANE","FLORENCE, NJ 08518","SHENZHEN WINFORTUNE TECHNOLOGY CO",80,"HONG KONG"
"February 2017","REACTION TRAINING GAME",33354,"Lead-in-Paint Toy/Children's Product/CPSA","16 CFR 1303","Stop Sale and Correct Future Production","IMAGINE NATION BOOKS","282 CENTURY PLACE STE 2000","LOUISVILLE, CO 80027","SHIPPER: NEW INDEPENDANT MARKETING",120,CHINA
"February 2017","MY ART CENTER",135,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMAGINE NATION BOOKS","282 CENTURY PLACE STE 2000","LOUISVILLE, CO 80027","SHIPPER: NEW INDEPENDANT MARKETING",90,CHINA
"February 2017","BALL SHOOTING GAME 4-IN-1",136,"Misbranded Toys/Games w/Small Ball","16 CFR 1500.19","Stop Sale and Correct Future Production","IMAGINE NATION BOOKS","282 CENTURY PLACE STE 2000","LOUISVILLE, CO 80027","SHIPPER: NEW INDEPENDANT MARKETING",408,CHINA
"February 2017","FASHION KNITTING STUDIO",130,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","IMAGINE NATION BOOKS","282 CENTURY PLACE STE 2000","LOUISVILLE, CO 80027","SHIPPER: NEW INDEPENDANT MARKETING",408,CHINA
"February 2017","METAL BUILD UP TOY 6-IN-1",133,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","IMAGINE NATION BOOKS","282 CENTURY PLACE STE 2000","LOUISVILLE, CO 80027","SHIPPER: NEW INDEPENDANT MARKETING",240,CHINA
"February 2017","R/C MONSTER STUNT CAR",93430,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","IMAGINE NATION BOOKS","282 CENTURY PLACE STE 2000","LOUISVILLE, CO 80027","SHIPPER: NEW INDEPENDANT MARKETING",290,CHINA
"February 2017","R/C STUNT TRUCK",93431,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","IMAGINE NATION BOOKS","282 CENTURY PLACE STE 2000","LOUISVILLE, CO 80027","SHIPPER: NEW INDEPENDANT MARKETING",290,CHINA
"February 2017","TRICYCLE WHEELS",WHEELS-9014,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","BJ&W INTERNATIONAL CORP","9918 HARWIN DRIVE","HOUSTON, TX 77036","ZHUHAI EST. CO., LTD.",541,CHINA
"February 2017","CHILD POTTY SEATS",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","S.H. IMPORT USA INC.","2-47 150 STREET","WHITESTONE, NY 11357","YIWU SHUANGYE INTERNATIONAL FORWARDING CO.",480,CHINA
"February 2017","STUDENTS WATCH","KIDS MULTI W400","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","FORMULA INTERNATIONAL TRADING CO., LTD","4355 PINE LAKE DRIVE","NAPERVILLE, IL 60564","GUANGZHOU FEIHUAI TRADING CO",312,CHINA
"February 2017","DIE CAST TOY TRUCKS",,"Lead in Children's Product / FHSA","16 CFR 1500","Correct Future Production","CHARLES PRODUCTS","12290 WILKINS AVENUE","ROCKVILLE, MD 20852","GUANGZHOU CHANGSHENG TOYS MANUFACTORY CO LTD",9072,CHINA
"February 2017","SPIN TOP",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","POSTAL RETAIL CORP","15333 CULVER BLVD. STE 340","IRVINE, CA 92604","PUJIANG FANTANSTIC IMP & EXP CO LTD",1500,CHINA
"February 2017","TOY STROLLER","ITEM NO. 85030","ASTM Toy Standard Violation","15 U.S.C. § 2058(a)","Correct Future Production","HAFFY LLC","5600 COLLINS AVENUE, APT. 3A","MIAMI BEACH, FL 33140-2403","DECUEVAS TOYS, SL",30,SPAIN
"February 2017","TOY STROLLER","ITEM NO. 81014","ASTM Toy Standard Violation","15 U.S.C. § 2058(a)","Correct Future Production","HAFFY LLC","5600 COLLINS AVENUE, APT. 3A","MIAMI BEACH, FL 33140-2403","DECUEVAS TOYS, SL",54,SPAIN
"February 2017","PJ SHORT SET BASEBALL DIAMONDS","113-P95 8","Exceeds Tight Fitting Dimensions","16 CFR 1615/16","Correct Future Production","NEW JAMMIES","PO BOX 1496","CARBONDALE, CO 81623","AMAZON FULFILLMENT SERVICES",5,CHINA
"February 2017","SNUGGLY PJ RED WHITE STRIPES 1","118-P32RW 12","Exceeds Tight Fitting Dimensions","16 CFR 1615/16","Correct Future Production","NEW JAMMIES","PO BOX 1496","CARBONDALE, CO 81623","AMAZON FULFILLMENT SERVICES",5,CHINA
"February 2017","ZIP FOOTIE RETRO CHRISTMAS 4T","104Z-P89 4T","Exceeds Tight Fitting Dimensions","16 CFR 1615/16","Correct Future Production","NEW JAMMIES","PO BOX 1496","CARBONDALE, CO 81623","AMAZON FULFILLMENT SERVICES",6,CHINA
"February 2017","KIDS TSHIRT WITH 6 WASHABLE MA",STEAMBOAT,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","KIDS LUV 2 COLOR","800 BRAND ROAD","UXBRIDGE RR4, ONTARIO CAN, L9P","KIDS LUV 2 COLOR",72,CANADA
"February 2017","CAT FACE COIN PURSE","ASSORTED DESIGN","Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","JAPAN CRATE, LLC.","2037 IRVING","SAN FRANCISCO, CA","MUSUVI, INCIRPORATED",6000,CHINA
"February 2017","RIDE ON TOY CAR",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","MOISES HERRERA DBA LA HERMOSA","1445 W BASELINE ROAD","PHOENIX, AZ 85226","HEBEI NEW SPEED TOYS CO LTD",370,CHINA
"February 2017","KIDS BIKE WITH TRAINING WHEELS",,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","MOISES HERRERA DBA LA HERMOSA","1445 W BASELINE ROAD","PHOENIX, AZ 85226","HEBEI NEW SPEED TOYS CO LTD",147,CHINA
"February 2017","B/O BUBBLE GUN",10278A,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","HAPPYGLOW CO","180 WHISPER WOOD LANE","ATHENS, GA 30605","SHANGHAI TRICO-LIGHTING COMPANY LIMITED",576,CHINA
"February 2017",TRICYCLES,568,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LINOVIS CORPORATION","3579 E FOOTHILL BLVD, APT 217","PASADENA, CA 91107","XINGTAI LIEMENG BICYCLE CO., LTD.",1500,CHINA
"February 2017",TRICYCLES,1820,"Lead-in-Paint Toy/Children's Product/CPSA","16 CFR 1303","Stop Sale and Correct Future Production","LINOVIS CORPORATION","3579 E FOOTHILL BLVD, APT 217","PASADENA, CA 91107","XINGTAI LIEMENG BICYCLE CO., LTD.",194,CHINA
"February 2017",TRICYCLES,1310,"Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","LINOVIS CORPORATION","3579 E FOOTHILL BLVD, APT 217","PASADENA, CA 91107","XINGTAI LIEMENG BICYCLE CO., LTD.",165,CHINA
"February 2017","SWIM FINS",30.6201,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","NORDESCO INC","5690 A RUE FULLUM","MONTREAL, PQ CANADA, H2G 2H7",,48,MALAYSIA
"February 2017","FOAM DICE",14.14,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","NORDESCO INC","5690 A RUE FULLUM","MONTREAL, PQ CANADA, H2G 2H7",,8,MALAYSIA
"February 2017","TURTLE KICKBOARD",30.69,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","NORDESCO INC","5690 A RUE FULLUM","MONTREAL, PQ CANADA, H2G 2H7",,72,MALAYSIA
"February 2017","FRIENDLY ANIMALS",14.153,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production","NORDESCO INC","5690 A RUE FULLUM","MONTREAL, PQ CANADA, H2G 2H7",,8,MALAYSIA
"February 2017","PIZZA PARTY SET","D377 & TC377","Lead-in-Paint Toy/Children's Product/CPSA","16 CFR 1303","Stop Sale and Correct Future Production","JW CRAWFORD INC","12 LIZENSK BLVD SUITE 302","MONROE, NY 10950","HUIQIAO INTERNATIONAL (SHANGHAI) CO., LTD.",696,CHINA
"February 2017","TOY CAR","TC232 / D232","Lead in Children's Product / FHSA","16 CFR 1500","Stop Sale and Correct Future Production","JW CRAWFORD INC","12 LIZENSK BLVD SUITE 302","MONROE, NY 10950","NINGBO RIVORAN IMPORT & EXPORT CO LTD",3240,CHINA
"February 2017","POOLS AND SPAS",,"Failure to install covers that meet ASME/ANSI","Sec. 1404(c)(1)(A)(i)","Correct Future Production","WESTIN HOTEL","6631 WEST BROAD STREET","RICHMOND, VA 23230",,2,USA
"February 2017","BICYCLE HELMET",HM005BKX,"Bicycle Helmet Labeling","16 CFR 1203.6 and .34","Correct Future Production","PONCE BICYCLE SUPPLY","165-C VILLA STREET","PONCE, PR 00731","EE LUNG INTERNATIONAL INC.",36,CHINA
"February 2017","ALPACA TOYS (STUFFED LLAMAS)",,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","LAEL ENTERPRISES LLC","812 ASHWOOD PL","DENTON, TX 76210","EFESOS S.A.C.",174,CHINA
"February 2017","ALPACA TOYS (STUFFED ELEPHANTS",,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","LAEL ENTERPRISES LLC","812 ASHWOOD PL","DENTON, TX 76210","EFESOS S.A.C.",3,CHINA
"February 2017","ALPACA TOYS (STUFFED BEARS)",,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","LAEL ENTERPRISES LLC","812 ASHWOOD PL","DENTON, TX 76210","EFESOS S.A.C.",1000,CHINA
"February 2017","POOL DRAIN COVERS",,"Failure to install covers that meet ASME/ANSI","Sec. 1404(c)(1)(A)(i)","Correct Future Production","ECONO LODGE","2137 EAST LINCOLN WAY","WOOSTER, OH 44691",,,USA
"February 2017",TEETHEASE,ASSORTED,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Stop Sale and Correct Future Production",ZULILY,"3051 CREEKSIDE PKWY","LOCKBOURNE, OH 43194",TEETHEASE,155,CHINA
"February 2017","CARSEAT CANOPY SET",,"Tracking Label Violation","15 U.S.C. § 2063(a)(5)","Correct Future Production","MOTHERS LOUNGE","363 W INDUSTRIAL DR","PLEASANT GROVE, UT 84602","LANXI YILIA TEXTILES",364,CHINA
"February 2017","7X10"" POLICE SET 8PCS",259293,"ASTM Toy Standard Violation","15 U.S.C. § 2058(a)","Stop Sale and Correct Future Production","MAGIC SOURCE INTERNATIONAL LTD","2445 E. DOMINGUEZ ST","CARSON, CA 90810","GAO MEI TRADING COMPANY",7200,CHINA
"February 2017","PRINCESS SWORD",BF4191,"Fireworks Fuse Side Ignition","16 CFR 1507.3","Correct Future Production","PHOENIX IMPORTS","3366 REMY DRIVE","LANSING, MI 48906","HUNAN TOP SUPPLY CHAIN SERVICES CO., LTD",496,CHINA
"February 2017","THUNDER BOMB CRACKER",BF1300,"Pyrotechnic Materials Overload","16 CFR 1500.17","Correct Future Production","BIG FIREWORKS CORPORATE","3366 REMY DRIVE","LANSING, MI 48906","PHOENIX IMPORTS/AMERICAN EAGLE SUPERSTORES INC.",,CHINA
"February 2017",SLEEPWEAR,11159,"Exceeds Tight Fitting Dimensions","16 CFR 1615/16","Stop Sale and Correct Future Production","NOHI KIDS DBA LITTLE BIRD","484 LAKE PARK AVE #355","OAKLAND, CA 94160",,,CHINA
"February 2017",SLEEPWEAR,11163,"Exceeds Tight Fitting Dimensions","16 CFR 1615/16","Stop Sale and Correct Future Production","NOHI KIDS DBA LITTLE BIRD","484 LAKE PARK AVE #355","OAKLAND, CA 94160",,,CHINA
"February 2017","KINDER EGGS (JOY)",,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","MIA JIN","20-07 127TH STREET G31","COLLEGE POINT, NY 1356","ZHENG ZIYI",480,"HONG KONG"
"February 2017","KINDER EGGS (JOY)",,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","WILL CHEN","127-05 22ND AVE","FLUSHING, NY 11356",ZFWLFZ,144,"HONG KONG"
"February 2017","KINDER EGGS (JOY)",,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","WILL CHEN","127-05 22ND AVE","FLUSHING, AVE 11356",ZFWLFZ,168,"HONG KONG"
"February 2017","KINDER EGGS (JOY)",,"Third Party Certificate Violation","15 U.S.C. § 2063(a)(2)","Stop Sale and Correct Future Production","WILL CHEN","127-05 22ND AVE","FLUSHING, NY 11356",ZFWLFZ,168,"HONG KONG"
"February 2017","BOTES DE MASA (COLOR: BLUE)",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",12,MEXICO
"February 2017","BOTES DE MASA (COLOR: RED)",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",15,MEXICO
"February 2017","BOTES DE MASA (COLOR: WHITE)",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",14,MEXICO
"February 2017","BOTES DE MASA (COLOR: NEON PIN",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",7,MEXICO
"February 2017","BOTES DE MASA (COLOR: NEON GRE",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",5,MEXICO
"February 2017","BOTES DE MASA (COLOR: NEON ORA",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",7,MEXICO
"February 2017","BOTES DE MASA (COLOR: NEON YEL",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",7,MEXICO
"February 2017","BOTES DE MASA (COLOR: YELLOW)",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",15,MEXICO
"February 2017","BOTES DE MASA (COLOR: LIME GR",,"Art Materials Labeling","16 CFR 1500.14(b)(8)","Stop Sale and Correct Future Production","IMP. EX 12, LLC","3330 FAIRCHILD GARDEN AVENUE #","PALM BEACH GARDENS, FL 33420","SALVER TOYS S DE RL DE CV",15,MEXICO
"January 2017","COLLONIL NANO COMPLETE FOAM 20",119941,"Aerosols Labeling","16 CFR 1500.130","Correct Future Production","SALZENBRODT GMBH & CO KG","INTERNATIONALE SCHUH- UND LEDE","HERMSDORFER STRABE 70 D-13437",,9,GERMANY
"January 2017","COLLONIL WATERSTOP SPRAY 200ML",11502,"Aerosols Labeling","16 CFR 1500.130","Correct Future Production","SALZENBRODT GMBH & CO KG","INTERNATIONALE SCHUH- UND LEDE","HERMSDORFER STRABE 70 D-13437",,9,GERMANY
"January 2017","DOLPHIN TOY",GC169-28,"Small Parts","16 CFR 1501","Stop Sale and Correct Future Production","TIMES TIENDA LLC","1700 AVE PONCE DE LEON PDA 25","SAN JUAN, PR 00909","YIWU DESHI IMP. & EXP. CO., LTD.",180,CHINA
